Pursat_PV,Phnom_Penh_PV,Siem_Reap_PV,Kampot_wind,Viet_wind
44267.03108001144,47247.73007801156,44457.37091576205,53354.93223639911,53336.81766615137
59505.0772048014,60107.69872212527,57686.46025357993,53263.333600452046,52690.86734676579
67048.28155641223,67426.6040323154,64403.643011603664,52027.3537118855,51340.74678041253
69820.5873439348,69852.71555689196,66542.94814089258,46913.02384309864,49549.00485128606
67532.54418732342,67027.72758491623,64250.24679980039,42844.64940823753,49672.23669430123
60953.56726845761,60072.36330407883,57886.083170939,47176.78111469575,50038.18902118413
49949.40728164876,48253.90615020678,47390.09603811975,46178.67438910533,45258.26812392956
33881.85703403097,31806.667305883653,32020.686058284216,36769.44333799183,43240.871243478214
12611.61822689362,10984.637081675242,11484.063252294176,43639.71444320542,50250.195096518844
0.0,0.0,0.0,53077.50959421086,53340.472037237676
0.0,0.0,0.0,53403.39345536779,53404.10983411764
0.0,0.0,0.0,53401.700272997405,53391.11673012224
0.0,0.0,0.0,53385.76284941927,53380.43138445095
0.0,0.0,0.0,53346.12204066627,53318.013066042346
0.0,0.0,0.0,53278.51221923919,53229.15564503901
0.0,0.0,0.0,52945.453916158986,52791.376963379334
0.0,0.0,0.0,52606.63054683637,52514.864669678704
0.0,0.0,0.0,51881.38456594856,52464.9433478496
0.0,0.0,0.0,51208.256058008665,52574.717270480505
0.0,0.0,0.0,51467.36265888607,52578.72195613525
0.0,0.0,0.0,52520.409064579195,52658.83781525899
0.0,0.0,0.0,52867.943305730325,53197.71293534694
6331.927245116062,7064.828978861216,5989.881546180565,53220.91939526722,53271.235311477176
27232.7884042639,27361.449660808525,27109.51921742073,53269.95505482981,53150.15223620389
45283.9335862949,44666.46931087571,45115.575583619175,53138.618910260324,52686.476373660465
57939.01509611433,58001.58167634843,57145.08084670209,52735.088056351706,51241.92101518047
65302.56037247056,65169.1565498545,64163.020169799805,52165.70328768921,50540.66914503659
67593.33071083152,67397.47999560446,66031.59295235574,52532.2100982217,50962.03426014063
65249.37307752217,64228.55359251635,63061.95295127663,52967.893963511466,51568.41321673914
58437.81185508058,57375.328029857665,56402.320482276074,53250.007936500704,52536.566437739646
